User Name,Handle,TimeStamp,Text,Like,Retweets
X-fire girl,@Shannon42413546,2021-11-03T20:22:46.000Z,"X-fire girl
@Shannon42413546
·
2s
Till my dad was at work an a young man was worried about my dog my dad said she got this light blue eye an got sick threw up an an won't eat dry food she is to afraid too the man said my dog looked like that for this pandemic an he told us he fixed his brother with",,0,
Bareera Hamza Mir,@biya_rasool,2021-11-03T20:22:45.000Z,"Bareera Hamza Mir
@biya_rasool
·
3s
#fixed #INDvsAFG #indiancricket
Khabees Orat
@Khabeees
 · 3h
Afghan team's putting in the same effort against India, Afghan army did against Taliban.
#AFGVSIND",,0,
Muddasser,@Muddass16053141,2021-11-03T20:22:43.000Z,"Muddasser
@Muddass16053141
·
5s
Replying to 
@ACBofficials
 @BCCI
 and 
@BLACKCAPS
Lol. Congratulations on IPL contract renewal. #fixed #fixedmatch",,0,
#EndSarsNow | Opeoluwa,@opeoluway2k,2021-11-03T20:22:42.000Z,"#EndSarsNow | Opeoluwa
@opeoluway2k
·
6s
#fixed #whitewomen #Youngkin #VirginiaElection2021 #VirginiaElection
New York Post
@nypost
 · 1h
'7 stages of grief': MSNBC, CNN hosts ripped for 'meltdown' over Youngkin win https://trib.al/R0CrS4x",,0,
Antho,@Antho_Senpai,2021-11-03T20:22:41.000Z,"Antho
@Antho_Senpai
·
7s
Replying to 
@GikkuY
long ass story, but got a fraud noti, called the bank, fixed it, bought one pack on isekai memories and now i'm shop banned from buying anything else lol",,0,
Grandpa's Psychedelic Garden Centre,@InheritedPlants,2021-11-03T20:22:37.000Z,"Grandpa's Psychedelic Garden Centre
@InheritedPlants
·
11s
Replying to 
@Matisselee1
 and 
@imranp87
Thanks for the concern folks - server permissions now fixed and all good!",,0,
Hamza,@IamMalikHZ,2021-11-03T20:22:35.000Z,"Hamza
@IamMalikHZ
·
13s
Replying to 
@DennisCricket_
#fixed 
#fixing",,0,
Lizzy Fo Shizzy ♡,@msliz__,2021-11-03T20:22:35.000Z,"Lizzy Fo Shizzy ♡
@msliz__
·
13s
Alienshitware is fixed. Only took a few hours and a few years off my life. Thanks Dell :D",,0,
Author Valeed Hussain Sabri VHS,@ValeedKhan3,2021-11-03T20:22:35.000Z,"Author Valeed Hussain Sabri VHS
@ValeedKhan3
·
13s
Shame on you Afghanistan cricket team you guys will regret soon just wait and watch.

You burned your opportunity for temporary comforts now you will pay for it

#fixed
#IndiavsAfghanistan",,0,
usama khan,@Musama2113,2021-11-03T20:22:34.000Z,"usama khan
@Musama2113
·
14s
Replying to 
@ICC
#fixed",,0,
